se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type,seasonal_pattern,peak_month,seasonal_volatility,seasonal_multiplier,is_seasonal,volume_score,intent_score,difficulty_score,cpc_score,seasonality_score,total_score,priority_tier
google,private mortgage company,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-12 06:16:41 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 6, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 34, 'dofollow': 26, 'referring_pages': 30.7, 'referring_domains': 18.7, 'referring_main_domains': 17.9, 'rank': 106.5, 'main_domain_rank': 306.1, 'last_updated_time': '2025-06-30 06:44:14 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:45 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 13283]",6.0,navigational,,4,private mortgage + mortgage insurance + insurance,Uncategorized,Easy,Exact,Evergreen,,0.0,1.0,False,100.0,50,94.0,50,50.0,73.8,High
google,private mortgage loan companies,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-20 07:30:17 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 5, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 29.8, 'dofollow': 21.2, 'referring_pages': 26.6, 'referring_domains': 19.6, 'referring_main_domains': 18.8, 'rank': 87.8, 'main_domain_rank': 347.4, 'last_updated_time': '2025-07-10 14:43:35 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2025-04-11 12:19:40 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 13283]",5.0,navigational,,11,mortgage loan + loan + loan private,Uncategorized,Easy,Phrase,Evergreen,,0.0,1.0,False,100.0,50,95.0,50,50.0,74.0,High
google,private mortgage companies,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-10 09:32:36 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'private mortgage company', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 0, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 26.7, 'dofollow': 20.9, 'referring_pages': 24.8, 'referring_domains': 15.6, 'referring_main_domains': 14.9, 'rank': 78.3, 'main_domain_rank': 294, 'last_updated_time': '2025-06-11 00:07:58 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:45 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 13283]",0.0,navigational,,4,private mortgage + mortgage insurance + insurance,Uncategorized,Easy,Exact,Evergreen,,0.0,1.0,False,100.0,50,100.0,50,50.0,75.0,High
google,private lenders for mortgage loans,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-14 01:35:28 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage loan private lenders', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 8, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 29.1, 'dofollow': 22, 'referring_pages': 25.4, 'referring_domains': 17.3, 'referring_main_domains': 16.7, 'rank': 113.6, 'main_domain_rank': 346.9, 'last_updated_time': '2025-06-12 21:16:16 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-08-29 19:52:42 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 13283]",8.0,navigational,['commercial'],13,private lenders + lenders mortgage + lenders,Uncategorized,Easy,Phrase,Evergreen,,0.0,1.0,False,100.0,50,92.0,50,50.0,73.4,High
google,private home mortgage lenders,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 10:25:25 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12960, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 9, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 17.8, 'dofollow': 11.6, 'referring_pages': 14.7, 'referring_domains': 9.4, 'referring_main_domains': 9.2, 'rank': 91.6, 'main_domain_rank': 368.5, 'last_updated_time': '2024-10-06 05:07:52 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:32 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13299]",9.0,navigational,,10,mortgage lenders + lenders + private mortgage,Uncategorized,Easy,Phrase,Evergreen,,0.0,1.0,False,100.0,50,91.0,50,50.0,73.2,High
google,mortgage from private lender,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-12 11:46:30 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 12960, 13283, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'private mortgage lenders', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 5, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 18.5, 'dofollow': 11, 'referring_pages': 15.2, 'referring_domains': 11.4, 'referring_main_domains': 11.1, 'rank': 67.2, 'main_domain_rank': 368.4, 'last_updated_time': '2024-10-15 13:14:47 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:21 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 12960, 13283, 13299]",5.0,navigational,['informational'],12,mortgage private + private lender + lender,Uncategorized,Easy,Phrase,Evergreen,,0.0,1.0,False,100.0,50,95.0,50,50.0,74.0,High
google,private mortgage loan company,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-11 20:16:33 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'private mortgage loan companies', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 10, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 221.3, 'dofollow': 125.8, 'referring_pages': 149.9, 'referring_domains': 46.3, 'referring_main_domains': 43.6, 'rank': 126.6, 'main_domain_rank': 315.6, 'last_updated_time': '2025-06-11 18:21:07 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:46 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 13283]",10.0,navigational,,11,mortgage loan + loan + loan private,Uncategorized,Easy,Phrase,Evergreen,,0.0,1.0,False,100.0,50,90.0,50,50.0,73.0,High
google,private mortgage loans,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-11 03:22:12 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'private mortgage loan', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 11, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 38.9, 'dofollow': 28.8, 'referring_pages': 35.2, 'referring_domains': 23.1, 'referring_main_domains': 22.2, 'rank': 120.1, 'main_domain_rank': 420.5, 'last_updated_time': '2025-07-15 20:41:26 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:46 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 13283]",11.0,navigational,,4,private mortgage + mortgage insurance + insurance,Uncategorized,Easy,Exact,Evergreen,,0.0,1.0,False,100.0,50,89.0,50,50.0,72.8,High
google,private lenders mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 15:05:26 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10012, 10095, 10097, 10531, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'private mortgage lenders', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 0, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 13, 'dofollow': 7.6, 'referring_pages': 11.7, 'referring_domains': 8.2, 'referring_main_domains': 8.1, 'rank': 49.9, 'main_domain_rank': 307.2, 'last_updated_time': '2024-10-15 13:13:56 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:43 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10095, 10097, 10531, 11841, 12956, 13283]",0.0,navigational,,13,private lenders + lenders mortgage + lenders,Uncategorized,Easy,Exact,Evergreen,,0.0,1.0,False,100.0,50,100.0,50,50.0,75.0,High
google,private lender for mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-15 01:09:21 +00:00', 'competition': 0.67, 'competition_level': 'HIGH', 'cpc': 15.36, 'search_volume': 2400, 'low_top_of_page_bid': 5.39, 'high_top_of_page_bid': 15.63, 'categories': [10003, 10012, 10097, 11841, 12960, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -33, 'quarterly': -45, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'private mortgage lenders', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 0, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 16.8, 'dofollow': 9.9, 'referring_pages': 14.2, 'referring_domains': 9.6, 'referring_main_domains': 9.4, 'rank': 65.9, 'main_domain_rank': 358.4, 'last_updated_time': '2024-10-06 05:07:53 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 21:16:43 +00:00'}",2400.0,15.36,0.67,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 2400}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 2900}, {'year': 2025, 'month': 2, 'search_volume': 2900}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_private mortgage,private mortgage,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13299]",0.0,navigational,,8,lender mortgage + private lender + lender,Uncategorized,Easy,Phrase,Evergreen,,0.0,1.0,False,100.0,50,100.0,50,50.0,75.0,High
