keyword,search_volume,cpc,competition_level,low_bid,high_bid,difficulty,estimated_traffic,trend_monthly,competitor_domain,suggested_min_bid,suggested_max_bid,bid_strategy
0 balance transfer canada,70,8.350000381469727,HIGH,2.4000000953674316,11.829999923706056,0,21.280000686645508,0,www.ratehub.ca,1.9200000762939453,14.195999908447268,Conservative
0 balance transfer card,1000,8.59000015258789,MEDIUM,2.4600000381469727,10.779999732971191,0,304.0,-23,www.ratehub.ca,1.9680000305175782,12.935999679565429,Standard
0 balance transfer credit cards canada,720,9.140000343322754,HIGH,2.380000114440918,10.520000457763672,0,218.8800048828125,0,www.ratehub.ca,1.9040000915527344,12.624000549316406,Conservative
0 balance transfer fee,70,8.109999656677246,LOW,1.690000057220459,8.649999618530273,0,21.280000686645508,-22,www.ratehub.ca,1.3520000457763672,10.379999542236328,Standard
0 card balance transfer,1000,8.59000015258789,MEDIUM,2.4600000381469727,10.779999732971191,0,304.0,-23,www.ratehub.ca,1.9680000305175782,12.935999679565429,Standard
0 credit card,210,8.34000015258789,HIGH,2.490000009536743,12.6899995803833,0,63.84000015258789,-19,www.ratehub.ca,1.9920000076293947,15.22799949645996,Conservative
0 credit card transfer,390,8.90999984741211,MEDIUM,2.240000009536743,9.630000114440918,0,118.55999755859375,-34,www.ratehub.ca,1.7920000076293947,11.556000137329102,Standard
0 credit cards canada,210,7.5,HIGH,2.450000047683716,10.710000038146973,0,63.84000015258789,-19,www.ratehub.ca,1.9600000381469727,12.852000045776366,Conservative
0 interest balance transfer credit card,390,8.90999984741211,MEDIUM,2.240000009536743,9.630000114440918,0,118.55999755859375,-34,www.ratehub.ca,1.7920000076293947,11.556000137329102,Standard
0 interest card,1000,8.390000343322754,HIGH,2.299999952316284,8.930000305175781,0,304.0,-23,www.ratehub.ca,1.8399999618530274,10.716000366210936,Conservative
0 interest credit cards 36 months,90,5.289999961853027,HIGH,1.850000023841858,6.349999904632568,0,27.360000610351562,-44,www.ratehub.ca,1.4800000190734863,7.619999885559082,Conservative
0 interest credit cards for 36 months,90,5.289999961853027,HIGH,1.850000023841858,6.349999904632568,0,27.360000610351562,-44,www.ratehub.ca,1.4800000190734863,7.619999885559082,Conservative
0 interest credit cards transfer balance,390,8.90999984741211,MEDIUM,2.240000009536743,9.630000114440918,0,118.55999755859375,-34,www.ratehub.ca,1.7920000076293947,11.556000137329102,Standard
0 interest credit cards with balance transfer,390,8.90999984741211,MEDIUM,2.240000009536743,9.630000114440918,0,118.55999755859375,-34,www.ratehub.ca,1.7920000076293947,11.556000137329102,Standard
0 percent credit cards canada,720,6.639999866485596,HIGH,2.0799999237060547,8.0600004196167,0,218.8800048828125,-18,www.ratehub.ca,1.6639999389648439,9.672000503540039,Conservative
1 year fixed mortgage rate,880,1.5399999618530271,MEDIUM,0.5799999833106995,1.819999933242798,0,267.5199890136719,0,www.ratehub.ca,0.46399998664855957,2.1839999198913578,Standard
1 year fixed mortgage rates,880,1.5399999618530271,MEDIUM,0.5799999833106995,1.819999933242798,0,267.5199890136719,0,www.ratehub.ca,0.46399998664855957,2.1839999198913578,Standard
1 year fixed mortgage rates ontario,210,2.0399999618530273,MEDIUM,0.6399999856948853,1.950000047683716,0,63.84000015258789,0,www.ratehub.ca,0.5119999885559082,2.3400000572204593,Standard
1 year fixed rate mortgage,210,1.159999966621399,MEDIUM,0.5699999928474426,1.680000066757202,0,63.84000015258789,27,www.ratehub.ca,0.4559999942779541,2.0160000801086424,Aggressive
1 year fixed rate mortgages,210,1.159999966621399,MEDIUM,0.5699999928474426,1.680000066757202,0,63.84000015258789,27,www.ratehub.ca,0.4559999942779541,2.0160000801086424,Aggressive
1 year gic,320,1.4500000476837158,LOW,0.3799999952316284,2.180000066757202,0,97.27999877929688,0,www.ratehub.ca,0.30399999618530277,2.6160000801086425,Standard
1 year gic rate,320,2.3499999046325684,LOW,0.4699999988079071,1.8799999952316284,0,97.27999877929688,0,www.ratehub.ca,0.3759999990463257,2.255999994277954,Standard
1 year gic rates,320,2.3499999046325684,LOW,0.4699999988079071,1.8799999952316284,0,97.27999877929688,0,www.ratehub.ca,0.3759999990463257,2.255999994277954,Standard
1 year gic rates canada,1300,1.75,MEDIUM,0.3799999952316284,1.9100000858306885,0,395.20001220703125,-18,www.ratehub.ca,0.30399999618530277,2.292000102996826,Standard
1 year mortgage rates,880,1.5399999618530271,MEDIUM,0.5799999833106995,1.819999933242798,0,267.5199890136719,0,www.ratehub.ca,0.46399998664855957,2.1839999198913578,Standard
1 year mortgage rates canada,210,2.0,MEDIUM,0.5799999833106995,1.75,0,63.84000015258789,27,www.ratehub.ca,0.46399998664855957,2.1,Aggressive
1 year mortgage rates ontario,210,2.0399999618530273,MEDIUM,0.6399999856948853,1.950000047683716,0,63.84000015258789,0,www.ratehub.ca,0.5119999885559082,2.3400000572204593,Standard
1-year fixed mortgage rates,880,1.5399999618530271,MEDIUM,0.5799999833106995,1.819999933242798,0,267.5199890136719,0,www.ratehub.ca,0.46399998664855957,2.1839999198913578,Standard
1-year fixed mortgage rates ontario,210,2.0399999618530273,MEDIUM,0.6399999856948853,1.950000047683716,0,63.84000015258789,0,www.ratehub.ca,0.5119999885559082,2.3400000572204593,Standard
1-year gic,320,1.4500000476837158,LOW,0.3799999952316284,2.180000066757202,0,97.27999877929688,0,www.ratehub.ca,0.30399999618530277,2.6160000801086425,Standard
