se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type
google,royal bank canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 06:01:06 +00:00', 'competition': 0.59, 'competition_level': 'MEDIUM', 'cpc': 5.92, 'search_volume': 9900, 'low_top_of_page_bid': 2.25, 'high_top_of_page_bid': 8.5, 'categories': [10012, 10097, 11841, 12960], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 27, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 2635.9, 'dofollow': 2165, 'referring_pages': 2522, 'referring_domains': 186.4, 'referring_main_domains': 175.5, 'rank': 185.5, 'main_domain_rank': 461.8, 'last_updated_time': '2025-07-28 04:05:07 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-09-01 01:39:38 +00:00'}",9900.0,5.92,0.59,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960]",27.0,navigational,,1,bank + companies + mortgage companies,Uncategorized,Easy,Phrase
google,royal bank of canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-18 05:35:33 +00:00', 'competition': 0.59, 'competition_level': 'MEDIUM', 'cpc': 5.92, 'search_volume': 9900, 'low_top_of_page_bid': 2.25, 'high_top_of_page_bid': 8.5, 'categories': [10012, 10097, 11841, 12960], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'royal bank canada mortgage', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 37, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 3618.6, 'dofollow': 2767.3, 'referring_pages': 3430.9, 'referring_domains': 203.2, 'referring_main_domains': 185.4, 'rank': 227.3, 'main_domain_rank': 473.3, 'last_updated_time': '2024-09-30 15:53:49 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:01:25 +00:00'}",9900.0,5.92,0.59,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960]",37.0,navigational,,1,bank + companies + mortgage companies,Uncategorized,Medium,Phrase
google,mortgage trends canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 19:46:15 +00:00', 'competition': 0.02, 'competition_level': 'LOW', 'cpc': 0.93, 'search_volume': 2400, 'low_top_of_page_bid': 0.13, 'high_top_of_page_bid': 2.07, 'categories': [10003], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 590}, {'year': 2025, 'month': 4, 'search_volume': 720}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 720}, {'year': 2025, 'month': 1, 'search_volume': 880}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1900}, {'year': 2024, 'month': 10, 'search_volume': 880}, {'year': 2024, 'month': 9, 'search_volume': 1000}, {'year': 2024, 'month': 8, 'search_volume': 590}, {'year': 2024, 'month': 7, 'search_volume': 880}], 'search_volume_trend': {'monthly': -19, 'quarterly': -33, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 38, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 45613.9, 'dofollow': 43845.4, 'referring_pages': 44001.2, 'referring_domains': 506.9, 'referring_main_domains': 474.4, 'rank': 238.2, 'main_domain_rank': 510.7, 'last_updated_time': '2025-06-30 06:45:26 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:33 +00:00'}",2400.0,0.93,0.02,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 590}, {'year': 2025, 'month': 4, 'search_volume': 720}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 720}, {'year': 2025, 'month': 1, 'search_volume': 880}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1900}, {'year': 2024, 'month': 10, 'search_volume': 880}, {'year': 2024, 'month': 9, 'search_volume': 1000}, {'year': 2024, 'month': 8, 'search_volume': 590}, {'year': 2024, 'month': 7, 'search_volume': 880}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,[10003],38.0,navigational,['informational'],1,bank + companies + mortgage companies,Uncategorized,Medium,Exact
google,canada bank rates mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-18 18:58:22 +00:00', 'competition': 0.55, 'competition_level': 'MEDIUM', 'cpc': 2.03, 'search_volume': 1900, 'low_top_of_page_bid': 0.57, 'high_top_of_page_bid': 2.02, 'categories': [10012, 10097, 11841, 12960, 13293], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -23, 'quarterly': -38, 'yearly': -47}}",,,,"{'se_type': 'google', 'core_keyword': 'bank of canada mortgage rates', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 50, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 4541.9, 'dofollow': 2694.8, 'referring_pages': 2810.4, 'referring_domains': 240.5, 'referring_main_domains': 207.9, 'rank': 294.9, 'main_domain_rank': 493.4, 'last_updated_time': '2024-10-02 06:36:33 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-09-05 05:17:47 +00:00'}",1900.0,2.03,0.55,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13293]",50.0,navigational,['informational'],1,bank + companies + mortgage companies,Uncategorized,Medium,Phrase
google,bank rates canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-11 02:04:49 +00:00', 'competition': 0.55, 'competition_level': 'MEDIUM', 'cpc': 2.03, 'search_volume': 1900, 'low_top_of_page_bid': 0.57, 'high_top_of_page_bid': 2.02, 'categories': [10012, 10097, 11841, 12960], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -23, 'quarterly': -38, 'yearly': -47}}",,,,"{'se_type': 'google', 'core_keyword': 'bank of canada mortgage rates', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 51, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 2018.5, 'dofollow': 1412.7, 'referring_pages': 1543.5, 'referring_domains': 139.9, 'referring_main_domains': 116, 'rank': 282.4, 'main_domain_rank': 478.4, 'last_updated_time': '2024-10-13 23:18:22 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-09-04 10:50:29 +00:00'}",1900.0,2.03,0.55,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960]",51.0,navigational,['informational'],1,bank + companies + mortgage companies,Uncategorized,Medium,Phrase
google,mortgage bank rates canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-21 00:27:09 +00:00', 'competition': 0.55, 'competition_level': 'MEDIUM', 'cpc': 2.03, 'search_volume': 1900, 'low_top_of_page_bid': 0.57, 'high_top_of_page_bid': 2.02, 'categories': [10012, 10097, 11841, 12960, 13293], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -23, 'quarterly': -38, 'yearly': -47}}",,,,"{'se_type': 'google', 'core_keyword': 'bank of canada mortgage rates', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 50, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 2082.2, 'dofollow': 1378.7, 'referring_pages': 1495.7, 'referring_domains': 109.6, 'referring_main_domains': 92.9, 'rank': 267, 'main_domain_rank': 470.1, 'last_updated_time': '2024-09-17 22:51:05 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-09-05 01:12:44 +00:00'}",1900.0,2.03,0.55,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13293]",50.0,navigational,['informational'],1,bank + companies + mortgage companies,Uncategorized,Medium,Phrase
google,mortgage monster canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 04:52:14 +00:00', 'competition': 0.33, 'competition_level': 'LOW', 'cpc': 1.08, 'search_volume': 1900, 'low_top_of_page_bid': 0.31, 'high_top_of_page_bid': 1.91, 'categories': [10016, 10139, 10746], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1300}, {'year': 2025, 'month': 5, 'search_volume': 1600}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1900}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 1900}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -19, 'quarterly': -19, 'yearly': -46}}",,,,"{'se_type': 'google', 'core_keyword': 'monster mortgage canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 3, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 2068.6, 'dofollow': 1073.6, 'referring_pages': 1094.3, 'referring_domains': 38.6, 'referring_main_domains': 37.3, 'rank': 73.9, 'main_domain_rank': 476.5, 'last_updated_time': '2025-06-13 22:01:32 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:26 +00:00'}",1900.0,1.08,0.33,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 1300}, {'year': 2025, 'month': 5, 'search_volume': 1600}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1900}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 1900}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10016, 10139, 10746]",3.0,navigational,['commercial'],1,bank + companies + mortgage companies,Uncategorized,Easy,Exact
google,mortgage professional canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-14 13:11:06 +00:00', 'competition': 0.24, 'competition_level': 'LOW', 'cpc': 0.91, 'search_volume': 1600, 'low_top_of_page_bid': 1.53, 'high_top_of_page_bid': 5.63, 'categories': [10012, 10096, 10097, 11841, 12956, 13283], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 1900}, {'year': 2025, 'month': 4, 'search_volume': 1900}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1600}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 1300}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1600}, {'year': 2024, 'month': 7, 'search_volume': 1600}], 'search_volume_trend': {'monthly': -16, 'quarterly': -16, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'canada mortgage professional', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 38, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 1402.8, 'dofollow': 1207, 'referring_pages': 1300.3, 'referring_domains': 191.7, 'referring_main_domains': 186.8, 'rank': 229.8, 'main_domain_rank': 545.6, 'last_updated_time': '2025-03-07 23:50:32 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:28 +00:00'}",1600.0,0.91,0.24,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 1600}, {'year': 2025, 'month': 5, 'search_volume': 1900}, {'year': 2025, 'month': 4, 'search_volume': 1900}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1600}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 1300}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1600}, {'year': 2024, 'month': 7, 'search_volume': 1600}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10096, 10097, 11841, 12956, 13283]",38.0,navigational,['commercial'],1,bank + companies + mortgage companies,Uncategorized,Medium,Exact
google,mortgage line of credit canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-12 13:32:40 +00:00', 'competition': 0.68, 'competition_level': 'HIGH', 'cpc': 13.77, 'search_volume': 1000, 'low_top_of_page_bid': 2.3, 'high_top_of_page_bid': 14.55, 'categories': [10003], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 880}, {'year': 2025, 'month': 1, 'search_volume': 1300}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 1000}, {'year': 2024, 'month': 10, 'search_volume': 1000}, {'year': 2024, 'month': 9, 'search_volume': 880}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 1000}], 'search_volume_trend': {'monthly': -23, 'quarterly': -23, 'yearly': -23}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 13, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 289.4, 'dofollow': 266.9, 'referring_pages': 283.1, 'referring_domains': 41.3, 'referring_main_domains': 39, 'rank': 119.5, 'main_domain_rank': 471.7, 'last_updated_time': '2024-10-02 06:08:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-08-26 08:00:10 +00:00'}",1000.0,13.77,0.68,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 880}, {'year': 2025, 'month': 1, 'search_volume': 1300}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 1000}, {'year': 2024, 'month': 10, 'search_volume': 1000}, {'year': 2024, 'month': 9, 'search_volume': 880}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 1000}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,[10003],13.0,navigational,,1,bank + companies + mortgage companies,Uncategorized,Easy,Phrase
google,mortgage companies in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-14 12:03:57 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 9.14, 'search_volume': 880, 'low_top_of_page_bid': 2.71, 'high_top_of_page_bid': 11.87, 'categories': [10012, 10097, 11841, 12956, 12960, 13283, 13290], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 880}, {'year': 2025, 'month': 5, 'search_volume': 880}, {'year': 2025, 'month': 4, 'search_volume': 1000}, {'year': 2025, 'month': 3, 'search_volume': 1300}, {'year': 2025, 'month': 2, 'search_volume': 1000}, {'year': 2025, 'month': 1, 'search_volume': 1000}, {'year': 2024, 'month': 12, 'search_volume': 590}, {'year': 2024, 'month': 11, 'search_volume': 720}, {'year': 2024, 'month': 10, 'search_volume': 880}, {'year': 2024, 'month': 9, 'search_volume': 1000}, {'year': 2024, 'month': 8, 'search_volume': 720}, {'year': 2024, 'month': 7, 'search_volume': 880}], 'search_volume_trend': {'monthly': 0, 'quarterly': -12, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage company in canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 50, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 33644.5, 'dofollow': 31221.1, 'referring_pages': 31492.2, 'referring_domains': 545.6, 'referring_main_domains': 505.7, 'rank': 271.8, 'main_domain_rank': 369.5, 'last_updated_time': '2024-10-02 15:13:16 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-07 02:07:18 +00:00'}",880.0,9.14,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 880}, {'year': 2025, 'month': 5, 'search_volume': 880}, {'year': 2025, 'month': 4, 'search_volume': 1000}, {'year': 2025, 'month': 3, 'search_volume': 1300}, {'year': 2025, 'month': 2, 'search_volume': 1000}, {'year': 2025, 'month': 1, 'search_volume': 1000}, {'year': 2024, 'month': 12, 'search_volume': 590}, {'year': 2024, 'month': 11, 'search_volume': 720}, {'year': 2024, 'month': 10, 'search_volume': 880}, {'year': 2024, 'month': 9, 'search_volume': 1000}, {'year': 2024, 'month': 8, 'search_volume': 720}, {'year': 2024, 'month': 7, 'search_volume': 880}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12956, 12960, 13283, 13290]",50.0,navigational,,1,bank + companies + mortgage companies,Uncategorized,Medium,Phrase
