se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type
google,mortgage payments calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 20:00:51 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage payment calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 58, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126835.5, 'dofollow': 62284.7, 'referring_pages': 63107, 'referring_domains': 210.2, 'referring_main_domains': 204, 'rank': 330.3, 'main_domain_rank': 498.8, 'last_updated_time': '2024-12-14 14:22:31 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-05-15 15:35:19 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",58.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,mortgage calculator for canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 19:20:31 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 66, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126440.9, 'dofollow': 62464, 'referring_pages': 63309.3, 'referring_domains': 213.5, 'referring_main_domains': 206.2, 'rank': 372.4, 'main_domain_rank': 498.1, 'last_updated_time': '2024-10-15 12:44:43 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-08-30 12:28:42 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13289]",66.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,mortgage calculator and canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 22:32:21 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12957, 12960, 13285, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 64, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31844.9, 'dofollow': 28659.1, 'referring_pages': 29724.1, 'referring_domains': 214.1, 'referring_main_domains': 207, 'rank': 364.8, 'main_domain_rank': 468.5, 'last_updated_time': '2024-09-13 01:18:54 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12957, 12960, 13285, 13289, 13294]",64.0,navigational,['commercial'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,mortgage calculator in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 14:25:25 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 67, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31618, 'dofollow': 28484.5, 'referring_pages': 29565.5, 'referring_domains': 213.8, 'referring_main_domains': 206.3, 'rank': 365.2, 'main_domain_rank': 476.5, 'last_updated_time': '2024-09-29 17:33:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",67.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,mortgage payment calculator in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-10 06:20:02 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10004, 10300, 11328], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage payment calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 62, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 114165.3, 'dofollow': 59940.5, 'referring_pages': 60347.8, 'referring_domains': 198.7, 'referring_main_domains': 193.3, 'rank': 349.3, 'main_domain_rank': 497.5, 'last_updated_time': '2025-03-06 05:46:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:26 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10004, 10300, 11328]",62.0,navigational,['commercial'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,mortgage calculator canada bc,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-09 21:06:24 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 0.53, 'search_volume': 27100, 'low_top_of_page_bid': 0.18, 'high_top_of_page_bid': 0.49, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 51, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 32475.6, 'dofollow': 31873.4, 'referring_pages': 32016, 'referring_domains': 40.7, 'referring_main_domains': 38.5, 'rank': 268.6, 'main_domain_rank': 471.6, 'last_updated_time': '2025-06-30 05:54:55 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",27100.0,0.53,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",51.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,mortgage calculator bc canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 08:04:34 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 0.53, 'search_volume': 27100, 'low_top_of_page_bid': 0.18, 'high_top_of_page_bid': 0.49, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada bc', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 54, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31318.5, 'dofollow': 31122.1, 'referring_pages': 31273.7, 'referring_domains': 45.3, 'referring_main_domains': 43.2, 'rank': 270.6, 'main_domain_rank': 483, 'last_updated_time': '2025-03-09 17:09:02 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",27100.0,0.53,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",54.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,car mortgage calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 04:31:19 +00:00', 'competition': 0.36, 'competition_level': 'MEDIUM', 'cpc': 1.19, 'search_volume': 18100, 'low_top_of_page_bid': 0.23, 'high_top_of_page_bid': 1.67, 'categories': [10012, 10097, 11841, 12957, 13285], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 18100}, {'year': 2025, 'month': 5, 'search_volume': 18100}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 22200}, {'year': 2025, 'month': 2, 'search_volume': 18100}, {'year': 2025, 'month': 1, 'search_volume': 18100}, {'year': 2024, 'month': 12, 'search_volume': 18100}, {'year': 2024, 'month': 11, 'search_volume': 18100}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 18100}, {'year': 2024, 'month': 7, 'search_volume': 22200}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 20, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 1059, 'dofollow': 872.6, 'referring_pages': 1024.6, 'referring_domains': 23.7, 'referring_main_domains': 22.9, 'rank': 167.3, 'main_domain_rank': 413.8, 'last_updated_time': '2024-10-13 19:28:11 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-05-30 00:15:56 +00:00'}",18100.0,1.19,0.36,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 18100}, {'year': 2025, 'month': 5, 'search_volume': 18100}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 22200}, {'year': 2025, 'month': 2, 'search_volume': 18100}, {'year': 2025, 'month': 1, 'search_volume': 18100}, {'year': 2024, 'month': 12, 'search_volume': 18100}, {'year': 2024, 'month': 11, 'search_volume': 18100}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 18100}, {'year': 2024, 'month': 7, 'search_volume': 22200}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12957, 13285]",20.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Easy,Phrase
google,mortgage calculator canada ratehub,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 14:53:00 +00:00', 'competition': 0.02, 'competition_level': 'LOW', 'cpc': 1.73, 'search_volume': 14800, 'low_top_of_page_bid': 0.39, 'high_top_of_page_bid': 2.52, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 12100}, {'year': 2025, 'month': 5, 'search_volume': 14800}, {'year': 2025, 'month': 4, 'search_volume': 14800}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 14800}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 14800}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 14800}, {'year': 2024, 'month': 7, 'search_volume': 14800}], 'search_volume_trend': {'monthly': -18, 'quarterly': -18, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 43, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 5024.8, 'dofollow': 3891.7, 'referring_pages': 4572.3, 'referring_domains': 190.2, 'referring_main_domains': 186.9, 'rank': 234.3, 'main_domain_rank': 554.2, 'last_updated_time': '2024-09-13 01:51:37 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",14800.0,1.73,0.02,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 12100}, {'year': 2025, 'month': 5, 'search_volume': 14800}, {'year': 2025, 'month': 4, 'search_volume': 14800}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 14800}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 14800}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 14800}, {'year': 2024, 'month': 7, 'search_volume': 14800}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",43.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,cmhc mortgage calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-14 06:04:56 +00:00', 'competition': 0.04, 'competition_level': 'LOW', 'cpc': 1.76, 'search_volume': 6600, 'low_top_of_page_bid': 0.27, 'high_top_of_page_bid': 1.99, 'categories': [10012, 10096, 10097, 11841, 12956, 12960, 13283, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada cmhc', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 68, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 109143.2, 'dofollow': 58184.5, 'referring_pages': 58257.2, 'referring_domains': 210.3, 'referring_main_domains': 196.7, 'rank': 357.1, 'main_domain_rank': 510.6, 'last_updated_time': '2025-06-30 06:04:34 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-10-07 17:58:40 +00:00'}",6600.0,1.76,0.04,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10096, 10097, 11841, 12956, 12960, 13283, 13294]",68.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
