keyword,search_volume,cpc,low_bid,high_bid,competitor_domain
1 year gic,320,1.4500000476837158,0.3799999952316284,2.180000066757202,www.ratehub.ca
1 year gic rate,320,2.3499999046325684,0.4699999988079071,1.8799999952316284,www.ratehub.ca
1 year gic rates,320,2.3499999046325684,0.4699999988079071,1.8799999952316284,www.ratehub.ca
1-year gic,320,1.4500000476837158,0.3799999952316284,2.180000066757202,www.ratehub.ca
10 year mortgage rate history canada,70,0.0,0.0,0.0,www.ratehub.ca
10-year mortgage rate history canada,70,0.0,0.0,0.0,www.ratehub.ca
2 demerit points insurance increase ontario,70,2.299999952316284,2.490000009536743,6.599999904632568,www.ratehub.ca
2 year gic rates,140,1.0,0.4099999964237213,1.9600000381469729,www.ratehub.ca
25 year fixed rate mortgage,170,1.2999999523162842,0.4900000095367431,1.5299999713897705,www.ratehub.ca
3 demerit points insurance ontario,50,4.869999885559082,6.150000095367432,18.940000534057617,www.ratehub.ca
3 month interest penalty calculator,70,0.8399999737739563,0.0,0.0,www.ratehub.ca
3 months interest penalty calculator,70,0.8399999737739563,0.0,0.0,www.ratehub.ca
3 year fixed rates,390,1.1399999856948853,0.5699999928474426,1.7400000095367432,www.ratehub.ca
3 year gic rates,110,0.550000011920929,0.3000000119209289,2.0,www.ratehub.ca
3-year gic rates,110,0.550000011920929,0.3000000119209289,2.0,www.ratehub.ca
5 year fixed mortgage,14800,1.600000023841858,0.4900000095367431,1.7400000095367432,www.ratehub.ca
5 year fixed mortgage rate history,70,0.0,0.0,0.0,www.ratehub.ca
5 year fixed mortgage rates canada,4400,1.2200000286102295,0.4199999868869781,1.649999976158142,www.ratehub.ca
5 year fixed mortgage rates toronto,90,4.059999942779541,0.8500000238418579,2.930000066757202,www.ratehub.ca
5 year fixed mortgages,14800,1.600000023841858,0.4900000095367431,1.7400000095367432,www.ratehub.ca
5 year gic,140,2.430000066757202,0.2399999946355819,2.319999933242798,www.ratehub.ca
5 year gic rate canada,590,2.259999990463257,0.3300000131130218,1.829999923706055,www.ratehub.ca
5 year gic rates,210,1.2200000286102295,0.3300000131130218,1.6600000858306885,www.ratehub.ca
5 year gic rates canada,590,2.259999990463257,0.3300000131130218,1.829999923706055,www.ratehub.ca
5 year mortgage rates toronto,90,4.059999942779541,0.8500000238418579,2.930000066757202,www.ratehub.ca
5 year variable closed vs open,260,0.9100000262260436,0.1400000005960464,1.7100000381469729,www.ratehub.ca
5 years fixed,390,1.319999933242798,0.6399999856948853,2.0199999809265137,www.ratehub.ca
5-year fixed mortgage rates,14800,1.600000023841858,0.4900000095367431,1.7400000095367432,www.ratehub.ca
5-year fixed mortgage rates canada,4400,1.2200000286102295,0.4199999868869781,1.649999976158142,www.ratehub.ca
5-year fixed mortgage rates chart,210,2.109999895095825,0.4300000071525574,1.930000066757202,www.ratehub.ca
5-year fixed mortgage rates history,70,0.0,0.0,0.0,www.ratehub.ca
5-year fixed mortgage rates toronto,90,4.059999942779541,0.8500000238418579,2.930000066757202,www.ratehub.ca
5-year gic rates,210,1.2200000286102295,0.3300000131130218,1.6600000858306885,www.ratehub.ca
5-year mortgage rates toronto,90,4.059999942779541,0.8500000238418579,2.930000066757202,www.ratehub.ca
accelerated weekly vs weekly,90,0.0,0.0,0.0,www.ratehub.ca
aeroplan dollar value,70,0.0,0.0,0.0,www.ratehub.ca
aeroplan miles to dollars,90,0.0,0.0,0.0,www.ratehub.ca
aeroplan points cash value,70,0.0,0.0,0.0,www.ratehub.ca
aeroplan to dollars,140,0.0,0.0,0.0,www.ratehub.ca
alberta prime rate,210,1.4199999570846558,0.9300000071525574,3.700000047683716,www.ratehub.ca
amortization period vs term,70,0.0,0.0,0.0,www.ratehub.ca
are gic rates going up,90,2.200000047683716,1.25,4.880000114440918,www.ratehub.ca
are property taxes paid monthly,70,0.0,0.0,0.0,www.ratehub.ca
atm fees canada,110,0.0,0.0,0.0,www.ratehub.ca
auto loans comparison,140,3.119999885559082,1.309999942779541,5.940000057220459,www.ratehub.ca
average car insurance in alberta,140,1.6399999856948853,0.949999988079071,3.990000009536743,www.ratehub.ca
average car insurance in calgary,110,1.1399999856948853,0.6899999976158142,3.0899999141693115,www.ratehub.ca
average cost of a car,70,0.0,0.0,0.0,www.ratehub.ca
average interest rate savings account,260,2.7100000381469727,0.5400000214576721,2.25,www.ratehub.ca
average mortgage rate toronto,110,2.619999885559082,0.8199999928474426,1.950000047683716,www.ratehub.ca
bank gic rates canada,480,1.7000000476837158,0.4900000095367431,2.069999933242798,www.ratehub.ca
bank of canada interest rate vs prime,70,0.0,0.0,0.0,www.ratehub.ca
bank of canada rate vs prime rate,70,0.0,0.0,0.0,www.ratehub.ca
bank prime,390,0.0,0.7400000095367432,4.789999961853027,www.ratehub.ca
bank prime canada,260,1.3799999952316284,0.0,0.0,www.ratehub.ca
bank prime lending rate,1600,3.109999895095825,0.8700000047683716,3.5199999809265137,www.ratehub.ca
bank prime rate,1600,3.109999895095825,0.8700000047683716,3.5199999809265137,www.ratehub.ca
bank prime rate canada,1900,2.5199999809265137,0.8700000047683716,3.990000009536743,www.ratehub.ca
bank prime rate today,260,0.0,0.0,0.0,www.ratehub.ca
bank prime rates,1600,3.109999895095825,0.8700000047683716,3.5199999809265137,www.ratehub.ca
banks prime rate today,260,0.0,0.0,0.0,www.ratehub.ca
bc prime lending rate,90,0.0,0.0,0.0,www.ratehub.ca
best 0 credit card,90,0.0,2.059999942779541,8.59000015258789,www.ratehub.ca
best 0 credit cards,90,0.0,2.059999942779541,8.59000015258789,www.ratehub.ca
best 0 transfer fee credit cards,70,0.0,0.0,0.0,www.ratehub.ca
best 2 year gic rates canada,140,2.559999942779541,0.5199999809265137,2.6399998664855957,www.ratehub.ca
best 2-year gic rates canada,140,2.559999942779541,0.5199999809265137,2.6399998664855957,www.ratehub.ca
best 5 year gic rates canada,590,1.850000023841858,0.5299999713897705,2.630000114440918,www.ratehub.ca
best 5 years gic rates canada,590,1.850000023841858,0.5299999713897705,2.630000114440918,www.ratehub.ca
best 5-year gic rates canada,590,1.850000023841858,0.5299999713897705,2.630000114440918,www.ratehub.ca
best airline rewards credit card,260,6.320000171661377,1.649999976158142,11.789999961853027,www.ratehub.ca
best balance transfer,90,3.4200000762939453,1.8600000143051147,8.239999771118164,www.ratehub.ca
best balance transfer cards no fee,90,2.5,1.1399999856948853,2.5199999809265137,www.ratehub.ca
best balance transfer cards no-fee,90,2.5,1.1399999856948853,2.5199999809265137,www.ratehub.ca
best balance transfer credit card deals,90,6.650000095367432,1.6200000047683716,7.480000019073486,www.ratehub.ca
best balance transfer credit card no fee,90,2.5,1.1399999856948853,2.5199999809265137,www.ratehub.ca
best balance transfer credit cards no fee,90,2.5,1.1399999856948853,2.5199999809265137,www.ratehub.ca
best balance transfer offers,110,6.039999961853027,1.940000057220459,8.430000305175781,www.ratehub.ca
best card for balance transfer no fee,90,2.5,1.1399999856948853,2.5199999809265137,www.ratehub.ca
best card for points,320,7.570000171661377,1.0399999618530271,11.34000015258789,www.ratehub.ca
best cards for balance transfers no fees,90,2.5,1.1399999856948853,2.5199999809265137,www.ratehub.ca
best cash back credit cards with no annual fee,70,3.0199999809265137,1.090000033378601,5.050000190734863,www.ratehub.ca
best credit card 0,90,0.0,2.059999942779541,8.59000015258789,www.ratehub.ca
best credit card balance transfer deals,90,6.650000095367432,1.6200000047683716,7.480000019073486,www.ratehub.ca
best credit card balance transfer offers,210,5.559999942779541,1.920000076293945,9.93000030517578,www.ratehub.ca
best credit card deals balance transfer,210,5.559999942779541,1.920000076293945,9.93000030517578,www.ratehub.ca
best credit card deals for balance transfers,210,5.559999942779541,1.920000076293945,9.93000030517578,www.ratehub.ca
best credit card for airline points,260,6.320000171661377,1.649999976158142,11.789999961853027,www.ratehub.ca
best credit card for flight rewards,260,6.320000171661377,1.649999976158142,11.789999961853027,www.ratehub.ca
best credit card for frequent flyer,260,6.320000171661377,1.649999976158142,11.789999961853027,www.ratehub.ca
best credit card no transfer fee,70,0.0,0.0,0.0,www.ratehub.ca
best credit card offers balance transfer,210,5.559999942779541,1.920000076293945,9.93000030517578,www.ratehub.ca
