keyword,search_volume,cpc,estimated_traffic,difficulty,competitor_domain
0 balance transfer card,1000,8.59000015258789,304.0,0,www.ratehub.ca
0 balance transfer credit cards canada,720,9.140000343322754,218.8800048828125,0,www.ratehub.ca
0 card balance transfer,1000,8.59000015258789,304.0,0,www.ratehub.ca
0 interest card,1000,8.390000343322754,304.0,0,www.ratehub.ca
0 percent credit cards canada,720,6.639999866485596,218.8800048828125,0,www.ratehub.ca
1 year fixed mortgage rate,880,1.5399999618530271,267.5199890136719,0,www.ratehub.ca
1 year fixed mortgage rates,880,1.5399999618530271,267.5199890136719,0,www.ratehub.ca
1 year gic rates canada,1300,1.75,395.20001220703125,0,www.ratehub.ca
1 year mortgage rates,880,1.5399999618530271,267.5199890136719,0,www.ratehub.ca
1-year fixed mortgage rates,880,1.5399999618530271,267.5199890136719,0,www.ratehub.ca
2 year fixed mortgage rates,720,1.690000057220459,218.8800048828125,0,www.ratehub.ca
3 year fixed rate mortgage,5400,1.7200000286102295,1641.5999755859375,0,www.ratehub.ca
3 year mortgage rates,5400,1.7200000286102295,1641.5999755859375,0,www.ratehub.ca
5 year fixed mortgage,14800,1.600000023841858,4499.2001953125,0,www.ratehub.ca
5 year fixed mortgage rates canada,4400,1.2200000286102295,1337.5999755859375,0,www.ratehub.ca
5 year fixed mortgages,14800,1.600000023841858,4499.2001953125,0,www.ratehub.ca
5 year gic rate canada,590,2.259999990463257,179.36000061035156,0,www.ratehub.ca
5 year gic rates canada,590,2.259999990463257,179.36000061035156,0,www.ratehub.ca
5-year fixed mortgage rates,14800,1.600000023841858,4499.2001953125,0,www.ratehub.ca
5-year fixed mortgage rates canada,4400,1.2200000286102295,1337.5999755859375,0,www.ratehub.ca
auto finance rates canada,4400,3.180000066757202,1337.5999755859375,0,www.ratehub.ca
auto insurance companies best,880,20.43000030517578,267.5199890136719,0,www.ratehub.ca
auto insurance quotes toronto,880,25.309999465942383,267.5199890136719,0,www.ratehub.ca
auto loan rates canada,4400,3.180000066757202,1337.5999755859375,0,www.ratehub.ca
average home insurance cost ontario,590,11.380000114440918,179.36000061035156,0,www.ratehub.ca
