se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type
google,mortgage calculator for canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 19:20:31 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 66, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126440.9, 'dofollow': 62464, 'referring_pages': 63309.3, 'referring_domains': 213.5, 'referring_main_domains': 206.2, 'rank': 372.4, 'main_domain_rank': 498.1, 'last_updated_time': '2024-10-15 12:44:43 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-08-30 12:28:42 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13289]",66.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,canada mortgage calculators,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-11 14:39:45 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 66, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126426, 'dofollow': 62445.7, 'referring_pages': 63293.9, 'referring_domains': 213.2, 'referring_main_domains': 205.9, 'rank': 372.4, 'main_domain_rank': 497.9, 'last_updated_time': '2024-10-13 19:20:08 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational', 'commercial'], 'last_updated_time': '2023-09-04 01:05:56 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13294]",66.0,navigational,"['informational', 'commercial']",7,canada mortgage + royal bank + corporation,Uncategorized,Hard,Exact
google,mortgage calculator and canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 22:32:21 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12957, 12960, 13285, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 64, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31844.9, 'dofollow': 28659.1, 'referring_pages': 29724.1, 'referring_domains': 214.1, 'referring_main_domains': 207, 'rank': 364.8, 'main_domain_rank': 468.5, 'last_updated_time': '2024-09-13 01:18:54 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12957, 12960, 13285, 13289, 13294]",64.0,navigational,['commercial'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,mortgage calculator in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 14:25:25 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 67, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31618, 'dofollow': 28484.5, 'referring_pages': 29565.5, 'referring_domains': 213.8, 'referring_main_domains': 206.3, 'rank': 365.2, 'main_domain_rank': 476.5, 'last_updated_time': '2024-09-29 17:33:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",67.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,calculator mortgage canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 08:32:26 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 62, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 112490.8, 'dofollow': 58434.5, 'referring_pages': 58930.4, 'referring_domains': 199.2, 'referring_main_domains': 194, 'rank': 350.1, 'main_domain_rank': 496, 'last_updated_time': '2025-02-07 13:29:13 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 17:51:14 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",62.0,navigational,,5,mortgage canada + private mortgage + private,Uncategorized,Hard,Exact
google,mortgage payment calculator in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-10 06:20:02 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10004, 10300, 11328], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage payment calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 62, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 114165.3, 'dofollow': 59940.5, 'referring_pages': 60347.8, 'referring_domains': 198.7, 'referring_main_domains': 193.3, 'rank': 349.3, 'main_domain_rank': 497.5, 'last_updated_time': '2025-03-06 05:46:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:26 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10004, 10300, 11328]",62.0,navigational,['commercial'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,cmhc mortgage calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-14 06:04:56 +00:00', 'competition': 0.04, 'competition_level': 'LOW', 'cpc': 1.76, 'search_volume': 6600, 'low_top_of_page_bid': 0.27, 'high_top_of_page_bid': 1.99, 'categories': [10012, 10096, 10097, 11841, 12956, 12960, 13283, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada cmhc', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 68, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 109143.2, 'dofollow': 58184.5, 'referring_pages': 58257.2, 'referring_domains': 210.3, 'referring_main_domains': 196.7, 'rank': 357.1, 'main_domain_rank': 510.6, 'last_updated_time': '2025-06-30 06:04:34 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-10-07 17:58:40 +00:00'}",6600.0,1.76,0.04,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10096, 10097, 11841, 12956, 12960, 13283, 13294]",68.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,mortgage calculator canada cmhc,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-15 09:34:31 +00:00', 'competition': 0.04, 'competition_level': 'LOW', 'cpc': 1.76, 'search_volume': 6600, 'low_top_of_page_bid': 0.27, 'high_top_of_page_bid': 1.99, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 68, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 79698.3, 'dofollow': 76910.9, 'referring_pages': 77221.9, 'referring_domains': 622.2, 'referring_main_domains': 581.1, 'rank': 369.9, 'main_domain_rank': 463.7, 'last_updated_time': '2025-03-26 18:00:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",6600.0,1.76,0.04,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",68.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase
google,canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 13:40:16 +00:00', 'competition': 0.48, 'competition_level': 'MEDIUM', 'cpc': 4.28, 'search_volume': 1900, 'low_top_of_page_bid': 1.25, 'high_top_of_page_bid': 5.53, 'categories': [10003, 10012, 10097, 11841, 12960, 13294, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 1900}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 1600}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -23, 'quarterly': -23, 'yearly': -47}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 63, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 65280.6, 'dofollow': 61399, 'referring_pages': 61586, 'referring_domains': 580.4, 'referring_main_domains': 541.4, 'rank': 352.5, 'main_domain_rank': 451.6, 'last_updated_time': '2025-07-29 00:52:53 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:12:44 +00:00'}",1900.0,4.28,0.48,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 1900}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 1600}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13294, 13299]",63.0,navigational,,7,canada mortgage + royal bank + corporation,Uncategorized,Hard,Exact
google,mortgage canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-12 23:42:15 +00:00', 'competition': 0.63, 'competition_level': 'MEDIUM', 'cpc': 5.72, 'search_volume': 1600, 'low_top_of_page_bid': 1.56, 'high_top_of_page_bid': 7.4, 'categories': [10012, 10097, 11841, 12960, 13290], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 3600}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}], 'search_volume_trend': {'monthly': -23, 'quarterly': -38, 'yearly': -47}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 64, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 71736.6, 'dofollow': 69077.7, 'referring_pages': 69332.2, 'referring_domains': 1018.4, 'referring_main_domains': 946.9, 'rank': 367.8, 'main_domain_rank': 454.1, 'last_updated_time': '2025-07-29 02:49:03 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-07 02:07:18 +00:00'}",1600.0,5.72,0.63,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 1600}, {'year': 2025, 'month': 1, 'search_volume': 1900}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 3600}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13290]",64.0,navigational,,5,mortgage canada + private mortgage + private,Uncategorized,Hard,Exact
