se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type,seasonal_pattern,peak_month,seasonal_volatility,seasonal_multiplier,is_seasonal,volume_score,intent_score,difficulty_score,cpc_score,seasonality_score,total_score,priority_tier
google,mortgage payments calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 20:00:51 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage payment calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 58, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126835.5, 'dofollow': 62284.7, 'referring_pages': 63107, 'referring_domains': 210.2, 'referring_main_domains': 204, 'rank': 330.3, 'main_domain_rank': 498.8, 'last_updated_time': '2024-12-14 14:22:31 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-05-15 15:35:19 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",58.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase,Evergreen,,0.0,1.0,False,100.0,50,42.0,50,50.0,63.4,Medium
google,mortgage calculator for canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 19:20:31 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 66, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126440.9, 'dofollow': 62464, 'referring_pages': 63309.3, 'referring_domains': 213.5, 'referring_main_domains': 206.2, 'rank': 372.4, 'main_domain_rank': 498.1, 'last_updated_time': '2024-10-15 12:44:43 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-08-30 12:28:42 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13289]",66.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase,Evergreen,,0.0,1.0,False,100.0,50,34.0,50,50.0,61.8,Medium
google,canada mortgage calculators,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-11 14:39:45 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 66, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126426, 'dofollow': 62445.7, 'referring_pages': 63293.9, 'referring_domains': 213.2, 'referring_main_domains': 205.9, 'rank': 372.4, 'main_domain_rank': 497.9, 'last_updated_time': '2024-10-13 19:20:08 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational', 'commercial'], 'last_updated_time': '2023-09-04 01:05:56 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13294]",66.0,navigational,"['informational', 'commercial']",7,canada mortgage + royal bank + corporation,Uncategorized,Hard,Exact,Evergreen,,0.0,1.0,False,100.0,50,34.0,50,50.0,61.8,Medium
google,mortgage calculator and canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 22:32:21 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12957, 12960, 13285, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 64, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31844.9, 'dofollow': 28659.1, 'referring_pages': 29724.1, 'referring_domains': 214.1, 'referring_main_domains': 207, 'rank': 364.8, 'main_domain_rank': 468.5, 'last_updated_time': '2024-09-13 01:18:54 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12957, 12960, 13285, 13289, 13294]",64.0,navigational,['commercial'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase,Evergreen,,0.0,1.0,False,100.0,50,36.0,50,50.0,62.2,Medium
google,mortgage calculator in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 14:25:25 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 67, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31618, 'dofollow': 28484.5, 'referring_pages': 29565.5, 'referring_domains': 213.8, 'referring_main_domains': 206.3, 'rank': 365.2, 'main_domain_rank': 476.5, 'last_updated_time': '2024-09-29 17:33:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",67.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase,Evergreen,,0.0,1.0,False,100.0,50,33.0,50,50.0,61.6,Medium
google,calculator mortgage canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 08:32:26 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 62, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 112490.8, 'dofollow': 58434.5, 'referring_pages': 58930.4, 'referring_domains': 199.2, 'referring_main_domains': 194, 'rank': 350.1, 'main_domain_rank': 496, 'last_updated_time': '2025-02-07 13:29:13 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 17:51:14 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",62.0,navigational,,5,mortgage canada + private mortgage + private,Uncategorized,Hard,Exact,Evergreen,,0.0,1.0,False,100.0,50,38.0,50,50.0,62.6,Medium
google,canada mortgage loan calculator,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 14:44:00 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage loan calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 54, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 30804.8, 'dofollow': 27679.9, 'referring_pages': 28755.3, 'referring_domains': 208, 'referring_main_domains': 202.2, 'rank': 301.1, 'main_domain_rank': 479.1, 'last_updated_time': '2024-10-06 01:56:07 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-03 18:12:44 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13289]",54.0,navigational,['informational'],8,loan + mortgage loan + loan insurance,Uncategorized,Medium,Phrase,Evergreen,,0.0,1.0,False,100.0,50,46.0,50,50.0,64.2,Medium
google,mortgage payment calculator in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-10 06:20:02 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10004, 10300, 11328], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage payment calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 62, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 114165.3, 'dofollow': 59940.5, 'referring_pages': 60347.8, 'referring_domains': 198.7, 'referring_main_domains': 193.3, 'rank': 349.3, 'main_domain_rank': 497.5, 'last_updated_time': '2025-03-06 05:46:46 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2023-03-07 02:07:26 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10004, 10300, 11328]",62.0,navigational,['commercial'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Hard,Phrase,Evergreen,,0.0,1.0,False,100.0,50,38.0,50,50.0,62.6,Medium
google,mortgage calculator canada bc,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-09 21:06:24 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 0.53, 'search_volume': 27100, 'low_top_of_page_bid': 0.18, 'high_top_of_page_bid': 0.49, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 51, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 32475.6, 'dofollow': 31873.4, 'referring_pages': 32016, 'referring_domains': 40.7, 'referring_main_domains': 38.5, 'rank': 268.6, 'main_domain_rank': 471.6, 'last_updated_time': '2025-06-30 05:54:55 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",27100.0,0.53,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",51.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase,Evergreen,,0.0,1.0,False,54.68339065344933,50,49.0,50,50.0,51.21,Medium
google,mortgage calculator bc canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 08:04:34 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 0.53, 'search_volume': 27100, 'low_top_of_page_bid': 0.18, 'high_top_of_page_bid': 0.49, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada bc', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 54, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31318.5, 'dofollow': 31122.1, 'referring_pages': 31273.7, 'referring_domains': 45.3, 'referring_main_domains': 43.2, 'rank': 270.6, 'main_domain_rank': 483, 'last_updated_time': '2025-03-09 17:09:02 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",27100.0,0.53,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",54.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase,Evergreen,,0.0,1.0,False,54.68339065344933,50,46.0,50,50.0,50.61,Medium
